products-link-href,products-name,products-price,products-rating
https://www.banglashoppers.com/aveeno-skin-relief-dry-skin-body-wash-lavender-975ml.html,Aveeno Skin Relief Dry Skin Body Wash - Lavender - 975ml,2999.0,0
https://www.banglashoppers.com/pond-s-men-face-scrub-power-clear-100g.html,Pond’s Men Face Scrub Power Clear 100g,225.0,0
https://www.banglashoppers.com/lux-soap-bar-velvet-touch-100g.html,Lux Soap Bar Velvet Touch 100g,35.0,0
https://www.banglashoppers.com/rimmel-stay-matte-pressed-powder-005-silky-beige-14gm.html,Rimmel Stay Matte Pressed Powder - 005 Silky Beige - 14gm,450.0,0
https://www.banglashoppers.com/revuele-2-in-1-milk-cream-makeup-remover-for-normal-skin-intensively-cleans-tones-100ml.html,Revuele 2 In 1 Milk & Cream Makeup Remover For Normal Skin - Intensively Cleans & Tones - 100ml,475.0,0
https://www.banglashoppers.com/vollare-intensive-fairness-whitening-night-cream-all-skin-type-visibly-brightens-evens-skin-tone-50ml.html,Vollare Intensive Fairness Whitening Night Cream - All Skin Type - Visibly Brightens & Evens Skin Tone - 50ml,950.0,0
https://www.banglashoppers.com/neutrogena-oil-free-moisturiser-for-combination-skin-118ml.html,Neutrogena Oil Free Moisturiser For Combination Skin - 118ml,899.0,0
https://www.banglashoppers.com/clear-shampoo-men-cool-sport-menthol-anti-dandruff-180ml.html,Clear Shampoo Men Cool Sport Menthol Anti Dandruff 180ml,240.0,0
https://www.banglashoppers.com/argan-oil-night-repair-serum-30ml.html,Argan Oil Night Repair Serum - 30ml,315.0,0
https://www.banglashoppers.com/simple-kind-to-skin-dual-effect-eye-makeup-remover-125ml.html,Simple Kind To Skin Dual Effect Eye Makeup Remover - 125ml,480.0,0
https://www.banglashoppers.com/dettol-soap-cool-bathing-bar-soap-125gm.html,Dettol Soap Cool Bathing Bar Soap 125gm,58.0,0
https://www.banglashoppers.com/nivea-anti-perspirant-protect-care-deodorant-roll-on-50ml.html,Nivea Anti-Perspirant Protect & Care Deodorant Roll On - 50ml,200.0,0
